postId,URL,Text,Time,Likes,Comments,Shares,topReactionsCount,viewsCount
916046673890884,https://www.facebook.com/100064566801343/posts/916046673890884,"#24712: Mấy bạn nữ phơi đồ KTX bớt vô duyên lại dùm, đi dồn đồ của người khác lại dính thành chùm phơi sáng tới chiều ko khô, còn mình lại lấy cả đống chỗ để phơi đồ cho riêng mình:)) con người có ý thức tí đi sào phơi chung chứ ko phải của riêng!!!",2024-09-21T10:28:38.000Z,37,1,0,3,
625477559614465,https://www.facebook.com/100064566801343/posts/625477559614465,"#24135: Mọi người cho em hỏi giờ giáo viên gửi điểm quá trình mà gửi đúng 1 cột điểm quá trình, không có mấy cột khác thì có đúng không? Xong bảo có thắc mắc gì thì hỏi? mà giờ có biết điểm méo đâu mà thắc mắc. Rồi không biết có bao nhiêu thầy cô như vậy thì mọi người cho em biết với. Sau đi học không đăng kí đâu. Gửi cái bảng điểm cũng không rõ ràng. Cay! cái đứa dốt vcl, lúc làm bài mình còn chỉ nó mà điểm nó cao hơn mình hẳn 2 điểm quá trình, dù cũng điểm danh tham gia kiểm tra đầy đủ hết, bài tập nhóm thì làm chung nhóm nữa chứ. Mọi người học ai có cái vụ này thì nháy tên phát em né né, chứ chán lắm.",2023-05-22T11:58:10.000Z,30,1,0,3,
589002423261979,https://www.facebook.com/100064566801343/posts/589002423261979,"#24030: Máy giặt ktx trường mình có ảo thuật không vậy ta? Sao cứ giặt 1 lần là mất 1 thứ đồ. Rồi cả vụ lấy đồ ngkhac trong lồng giặt ra mà nhắm mắt không nhìn cái sọt nhựa có bẩn hay không, đồ thì đồ ai cũng mang trên người như nhau, cũng bỏ tiền ra giặt, mà sao chả có tâm tí nào hết. Có hôm xuống lấy đồ mà cái đáy sọt 1 đống cục bụi đen thế là vứt luôn 20k.",2023-03-24T14:53:26.000Z,41,1,0,2,
989577916537759,https://www.facebook.com/100064566801343/posts/989577916537759,"#24836: Ý là mình nhắc nhẹ các bạn nam đại đội 11 là buổi trưa mình có thể chơi game ở ngoài hành lang hay chỗ khác á
Mắc gì chơi trong lớp, đã chơi mà còn hét khá là lớn, ảnh hưởng đến các bạn trong lớp đang nghỉ trưa
Mong các bạn có thể chú hơn ạ.
Mình cảm ơn",2024-12-31T08:32:31.000Z,10,0,0,2,
985945563567661,https://www.facebook.com/100064566801343/posts/985945563567661,"#24829: Cái bọn chơi game khuya s.ủ.a ầm ầm, mấy bác bảo vệ nhắc nhở chẳng có tác dụng chắc là tụi này không hiểu tiếng ng.ư.ờ.i, mong ban quản lý có biện pháp mạnh, đang mùa thi nữa ạ",2024-12-26T01:25:52.000Z,30,0,0,3,
935453285283556,https://www.facebook.com/100064566801343/posts/935453285283556,#24749: nhà xe ktx có thể nào cẩn thận tí đc ko ạ xe ra vô diện tích đã chật rồi mà còn dắt các xe ép sát vào nhau lần nào lấy xe ra cx khó khăn hết đã vậy còn gãy gương chiếu hậu với trầy sướt xe nữa chứa gãy trầy đã đành làm một phát muốn rớt cái dàn áo xe ra ngoài gửi mà sót xe thật sự,2024-10-16T12:42:30.000Z,39,,0,3,
920392553456296,https://www.facebook.com/100064566801343/posts/920392553456296,"#24725: Làm ơn phòng 117 cái bạn nữ mà hay khóc la cos thể nào nhỏ nhỏ được ko vậy , tối nào phòng đó cũng ồn ào nói chuyện to ko cho ai ngủ hết vậy trời , mấy bạn hồi ở phòng cũ có ồn gì đâu , tự nhiên giờ xuất hiện mấy bạn mới nch ồn ào ko cho ai nghỉ ngơi ảnh hưởng tới các phòng xung quanh. Làm ơn nói chuyện cười giỡn nhỏ nhỏ xíu đi , đừng có làm ồn nữa năn nỉ luôn á",2024-09-27T01:13:57.000Z,45,,0,2,
901759891986229,https://www.facebook.com/100064566801343/posts/901759891986229,"#24666: mấy bạn nữ ơi !!! trưa kh ngủ thì đừng vào phòng nghỉ ngơi để nói chuyện nha ((: học cả ngày 10 tiết được tí thời gian để ngủ trưa thì gặp các bạn nói từ lúc vào đến lúc đi, mấy bạn nói bé nhưng kh có nghĩa là ngkhac kh nghe nha, xác ở đại học nhưng ý thức vẫn còn ở cấp 1 hả",2024-08-31T15:00:28.000Z,41,,0,3,
893919026103649,https://www.facebook.com/100064566801343/posts/893919026103649,"#24640: Gửi bạn H** kiến trúc K6x
Mình nhớ mình cũng sống tốt với bạn mà, cho bạn mượn nhiều thứ mà sao bạn sống lỗi với mấy anh em trong phòng thế. Lừa lấy tiền đồ của mình, rồi mượn tiền lung tung trong phòng. 
Mình chỉ muốn bạn liên hệ mới mình để xử lý mà bạn không chịu đọc tin nhắn để xử lý mà trốn tránh một cách vô trách nhiệm (AD 
đăng giúp mình với, mình cảm ơn)",2024-08-19T11:54:06.000Z,7,,0,2,
837538141741738,https://www.facebook.com/100064566801343/posts/837538141741738,"#24587: Mấy em học thực hành đo đạc gì đó trong ktx , sinh viên đh ăn học đàng hoàng mà ý thức như qq vậy mấy em. Vô ồn ào , ăn uống xả rác bừa bãi dơ bẩn , ghế đá khiêng để lung tung. Mong thầy cô có dạy môn này nhắc nhở mấy em giùm ạ",2024-05-20T10:09:43.000Z,39,,0,3,
